date,Year,Month,Day,class,CC.Season,Season,Treatment,Rate,metabo.type,precip.cat
6/3/2008,2008,6,3,No CC,No CC,Spring,Pre,-5.133724195,HR,Elevated
6/4/2008,2008,6,4,No CC,No CC,Spring,Pre,-4.804601894,HR,Elevated
6/5/2008,2008,6,5,No CC,No CC,Spring,Pre,-1.91773984,HR,Elevated
6/6/2008,2008,6,6,No CC,No CC,Spring,Pre,-4.307576611,HR,Zero
6/7/2008,2008,6,7,No CC,No CC,Spring,Pre,-2.768587074,HR,Elevated
6/8/2008,2008,6,8,No CC,No CC,Spring,Pre,-3.300744801,HR,Zero
6/9/2008,2008,6,9,No CC,No CC,Spring,Pre,-4.425281046,HR,Zero
6/10/2008,2008,6,10,No CC,No CC,Spring,Pre,-2.755388693,HR,Elevated
6/11/2008,2008,6,11,No CC,No CC,Spring,Pre,-2.248223593,HR,Zero
6/12/2008,2008,6,12,No CC,No CC,Spring,Pre,-2.053010429,HR,Zero
6/13/2008,2008,6,13,No CC,No CC,Spring,Pre,-3.184309653,HR,Elevated
6/14/2008,2008,6,14,No CC,No CC,Spring,Pre,-2.227241302,HR,Elevated
6/15/2008,2008,6,15,No CC,No CC,Spring,Pre,-3.028756511,HR,Zero
6/17/2008,2008,6,17,No CC,No CC,Spring,Pre,-1.371479101,HR,Zero
6/18/2008,2008,6,18,No CC,No CC,Spring,Pre,-1.221335562,HR,Zero
6/19/2008,2008,6,19,No CC,No CC,Spring,Pre,-1.17755729,HR,Zero
7/2/2008,2008,7,2,No CC,No CC,Summer,Pre,-5.332189598,HR,Zero
7/3/2008,2008,7,3,No CC,No CC,Summer,Pre,-3.181278541,HR,Elevated
7/4/2008,2008,7,4,No CC,No CC,Summer,Pre,-3.600392134,HR,Zero
7/5/2008,2008,7,5,No CC,No CC,Summer,Pre,-3.703768561,HR,Zero
7/6/2008,2008,7,6,No CC,No CC,Summer,Pre,-4.082852786,HR,Zero
7/7/2008,2008,7,7,No CC,No CC,Summer,Pre,-5.580691029,HR,Zero
7/8/2008,2008,7,8,No CC,No CC,Summer,Pre,-4.732762983,HR,Zero
7/9/2008,2008,7,9,No CC,No CC,Summer,Pre,-8.324604447,HR,Elevated
7/10/2008,2008,7,10,No CC,No CC,Summer,Pre,-7.336924819,HR,Zero
7/11/2008,2008,7,11,No CC,No CC,Summer,Pre,-8.665833901,HR,Elevated
7/12/2008,2008,7,12,No CC,No CC,Summer,Pre,-5.075040137,HR,Elevated
7/13/2008,2008,7,13,No CC,No CC,Summer,Pre,-5.434334303,HR,Elevated
7/15/2008,2008,7,15,No CC,No CC,Summer,Pre,-2.673053167,HR,Zero
7/16/2008,2008,7,16,No CC,No CC,Summer,Pre,-3.089457855,HR,Zero
7/17/2008,2008,7,17,No CC,No CC,Summer,Pre,-3.391682948,HR,Zero
8/12/2008,2008,8,12,No CC,No CC,Summer,Pre,-2.398382825,HR,Zero
8/13/2008,2008,8,13,No CC,No CC,Summer,Pre,-2.389362175,HR,Zero
8/14/2008,2008,8,14,No CC,No CC,Summer,Pre,-1.757099851,HR,Zero
8/15/2008,2008,8,15,No CC,No CC,Summer,Pre,-2.682153141,HR,Elevated
8/16/2008,2008,8,16,No CC,No CC,Summer,Pre,-2.187941323,HR,Zero
8/17/2008,2008,8,17,No CC,No CC,Summer,Pre,-2.127047172,HR,Zero
8/18/2008,2008,8,18,No CC,No CC,Summer,Pre,-2.284155225,HR,Zero
8/19/2008,2008,8,19,No CC,No CC,Summer,Pre,-2.28237716,HR,Zero
8/20/2008,2008,8,20,No CC,No CC,Summer,Pre,-2.050052937,HR,Zero
8/21/2008,2008,8,21,No CC,No CC,Summer,Pre,-2.830100587,HR,Zero
8/22/2008,2008,8,22,No CC,No CC,Summer,Pre,-3.13882479,HR,Zero
8/23/2008,2008,8,23,No CC,No CC,Summer,Pre,-2.402178599,HR,Elevated
8/24/2008,2008,8,24,No CC,No CC,Summer,Pre,-2.077093635,HR,Zero
8/26/2008,2008,8,26,No CC,No CC,Summer,Pre,-1.851828808,HR,Zero
8/27/2008,2008,8,27,No CC,No CC,Summer,Pre,-1.895909771,HR,Zero
8/28/2008,2008,8,28,No CC,No CC,Summer,Pre,-2.305287918,HR,Zero
8/29/2008,2008,8,29,No CC,No CC,Summer,Pre,-1.891151611,HR,Zero
8/30/2008,2008,8,30,No CC,No CC,Summer,Pre,-1.877830722,HR,Zero
8/31/2008,2008,8,31,No CC,No CC,Summer,Pre,-2.401227786,HR,Zero
9/1/2008,2008,9,1,No CC,No CC,Fall,Pre,-2.00811339,HR,Zero
9/2/2008,2008,9,2,No CC,No CC,Fall,Pre,-2.360969345,HR,Zero
9/3/2008,2008,9,3,No CC,No CC,Fall,Pre,-2.399981877,HR,Zero
9/4/2008,2008,9,4,No CC,No CC,Fall,Pre,-4.959465414,HR,Elevated
9/5/2008,2008,9,5,No CC,No CC,Fall,Pre,-3.815496437,HR,Elevated
9/6/2008,2008,9,6,No CC,No CC,Fall,Pre,-3.97546646,HR,Elevated
9/7/2008,2008,9,7,No CC,No CC,Fall,Pre,-3.21493451,HR,Elevated
9/9/2008,2008,9,9,No CC,No CC,Fall,Pre,-3.560377619,HR,Elevated
9/10/2008,2008,9,10,No CC,No CC,Fall,Pre,-3.029239802,HR,Zero
9/11/2008,2008,9,11,No CC,No CC,Fall,Pre,-2.681837872,HR,Zero
9/12/2008,2008,9,12,No CC,No CC,Fall,Pre,-2.661356829,HR,Elevated
9/13/2008,2008,9,13,No CC,No CC,Fall,Pre,-5.322003797,HR,High
9/14/2008,2008,9,14,No CC,No CC,Fall,Pre,-2.754148564,HR,Elevated
9/15/2008,2008,9,15,No CC,No CC,Fall,Pre,-2.713113289,HR,High
9/16/2008,2008,9,16,No CC,No CC,Fall,Pre,-2.55196669,HR,Zero
9/17/2008,2008,9,17,No CC,No CC,Fall,Pre,-2.621989131,HR,Zero
9/18/2008,2008,9,18,No CC,No CC,Fall,Pre,-2.76174808,HR,Zero
9/19/2008,2008,9,19,No CC,No CC,Fall,Pre,-2.737285026,HR,Zero
9/20/2008,2008,9,20,No CC,No CC,Fall,Pre,-2.757610505,HR,Zero
9/21/2008,2008,9,21,No CC,No CC,Fall,Pre,-2.642580558,HR,Zero
9/23/2008,2008,9,23,No CC,No CC,Fall,Pre,-2.519041156,HR,Zero
9/24/2008,2008,9,24,No CC,No CC,Fall,Pre,-2.593531448,HR,Zero
9/25/2008,2008,9,25,No CC,No CC,Fall,Pre,-2.600214924,HR,Zero
9/26/2008,2008,9,26,No CC,No CC,Fall,Pre,-2.66678068,HR,Zero
9/27/2008,2008,9,27,No CC,No CC,Fall,Pre,-2.621990422,HR,Zero
9/28/2008,2008,9,28,No CC,No CC,Fall,Pre,-2.72914197,HR,Zero
9/29/2008,2008,9,29,No CC,No CC,Fall,Pre,-2.721961899,HR,Zero
9/30/2008,2008,9,30,No CC,No CC,Fall,Pre,-2.440815721,HR,Zero
10/1/2008,2008,10,1,Early CC,CC,Fall,Pre,-2.376390717,HR,Elevated
10/2/2008,2008,10,2,Early CC,CC,Fall,Pre,-2.415537436,HR,Zero
10/3/2008,2008,10,3,Early CC,CC,Fall,Pre,-2.305626113,HR,Zero
10/4/2008,2008,10,4,Early CC,CC,Fall,Pre,-2.139165297,HR,Elevated
10/5/2008,2008,10,5,Early CC,CC,Fall,Pre,-2.00537943,HR,Zero
10/6/2008,2008,10,6,Early CC,CC,Fall,Pre,-0.981051427,HR,Zero
10/7/2008,2008,10,7,Early CC,CC,Fall,Pre,-1.340011093,HR,Zero
10/8/2008,2008,10,8,Early CC,CC,Fall,Pre,-1.047174523,HR,Elevated
10/9/2008,2008,10,9,Early CC,CC,Fall,Pre,-0.730380548,HR,Elevated
10/10/2008,2008,10,10,Early CC,CC,Fall,Pre,-0.807208958,HR,Zero
10/11/2008,2008,10,11,Early CC,CC,Fall,Pre,-1.022649606,HR,Zero
10/12/2008,2008,10,12,Early CC,CC,Fall,Pre,-1.153360277,HR,Zero
10/13/2008,2008,10,13,Early CC,CC,Fall,Pre,-1.474970797,HR,Zero
10/14/2008,2008,10,14,Early CC,CC,Fall,Pre,-1.454557403,HR,Zero
10/15/2008,2008,10,15,Early CC,CC,Fall,Pre,-1.828967928,HR,Zero
10/16/2008,2008,10,16,Early CC,CC,Fall,Pre,-0.330060643,HR,Elevated
10/17/2008,2008,10,17,Early CC,CC,Fall,Pre,-0.315574553,HR,Zero
10/18/2008,2008,10,18,Early CC,CC,Fall,Pre,-0.27832755,HR,Zero
10/19/2008,2008,10,19,Early CC,CC,Fall,Pre,-0.237770884,HR,Zero
10/21/2008,2008,10,21,Early CC,CC,Fall,Pre,-0.348018095,HR,Elevated
10/22/2008,2008,10,22,Early CC,CC,Fall,Pre,-0.280952234,HR,Zero
10/23/2008,2008,10,23,Early CC,CC,Fall,Pre,-0.522055393,HR,Zero
10/24/2008,2008,10,24,Early CC,CC,Fall,Pre,-0.843234523,HR,Elevated
10/25/2008,2008,10,25,Early CC,CC,Fall,Pre,0.108457901,HR,High
10/26/2008,2008,10,26,Early CC,CC,Fall,Pre,0.135656442,HR,Zero
10/27/2008,2008,10,27,Early CC,CC,Fall,Pre,0.106639234,HR,Elevated
10/28/2008,2008,10,28,Early CC,CC,Fall,Pre,0.127812634,HR,Elevated
10/29/2008,2008,10,29,Early CC,CC,Fall,Pre,0.176351341,HR,Zero
10/30/2008,2008,10,30,Early CC,CC,Fall,Pre,-0.009124602,HR,Zero
10/31/2008,2008,10,31,Early CC,CC,Fall,Pre,-0.259548304,HR,Zero
11/1/2008,2008,11,1,Early CC,CC,Fall,Pre,-0.373104511,HR,Zero
11/2/2008,2008,11,2,Early CC,CC,Fall,Pre,-0.49893542,HR,Zero
11/4/2008,2008,11,4,Early CC,CC,Fall,Pre,-1.107952979,HR,Zero
11/5/2008,2008,11,5,Early CC,CC,Fall,Pre,-1.192623036,HR,Zero
11/6/2008,2008,11,6,Early CC,CC,Fall,Pre,-1.436716787,HR,Zero
11/7/2008,2008,11,7,Early CC,CC,Fall,Pre,-1.013064833,HR,Elevated
11/8/2008,2008,11,8,Early CC,CC,Fall,Pre,-0.913371238,HR,Zero
11/9/2008,2008,11,9,Early CC,CC,Fall,Pre,-0.825900104,HR,Elevated
11/10/2008,2008,11,10,Early CC,CC,Fall,Pre,-0.426295411,HR,Elevated
11/11/2008,2008,11,11,Early CC,CC,Fall,Pre,-0.638761552,HR,Zero
11/12/2008,2008,11,12,Early CC,CC,Fall,Pre,-0.990055608,HR,Elevated
11/13/2008,2008,11,13,Early CC,CC,Fall,Pre,-0.795029318,HR,Elevated
11/14/2008,2008,11,14,Early CC,CC,Fall,Pre,-1.277961488,HR,Zero
11/15/2008,2008,11,15,Early CC,CC,Fall,Pre,0.012177168,HR,Elevated
11/16/2008,2008,11,16,Early CC,CC,Fall,Pre,0.250239729,HR,Elevated
11/18/2008,2008,11,18,Early CC,CC,Fall,Pre,0.683224078,HR,Elevated
11/19/2008,2008,11,19,Early CC,CC,Fall,Pre,0.579563051,HR,Zero
11/20/2008,2008,11,20,Early CC,CC,Fall,Pre,0.64114073,HR,Zero
11/21/2008,2008,11,21,Early CC,CC,Fall,Pre,0.81992721,HR,Elevated
11/22/2008,2008,11,22,Early CC,CC,Fall,Pre,0.7410431,HR,Zero
11/23/2008,2008,11,23,Early CC,CC,Fall,Pre,0.559839977,HR,Zero
11/24/2008,2008,11,24,Early CC,CC,Fall,Pre,0.331010804,HR,Zero
11/25/2008,2008,11,25,Early CC,CC,Fall,Pre,0.510319203,HR,Elevated
11/26/2008,2008,11,26,Early CC,CC,Fall,Pre,0.485744658,HR,Zero
11/27/2008,2008,11,27,Early CC,CC,Fall,Pre,0.37636977,HR,Zero
11/28/2008,2008,11,28,Early CC,CC,Fall,Pre,0.369658995,HR,Zero
11/29/2008,2008,11,29,Early CC,CC,Fall,Pre,0.260004661,HR,Zero
11/30/2008,2008,11,30,Early CC,CC,Fall,Pre,-0.050022249,HR,Zero
12/2/2008,2008,12,2,Early CC,CC,Winter,Pre,0.433483059,HR,Elevated
12/3/2008,2008,12,3,Early CC,CC,Winter,Pre,0.314369952,HR,Zero
12/4/2008,2008,12,4,Early CC,CC,Winter,Pre,0.546502337,HR,Elevated
12/5/2008,2008,12,5,Early CC,CC,Winter,Pre,0.295583245,HR,Zero
12/6/2008,2008,12,6,Early CC,CC,Winter,Pre,-0.173043859,HR,Elevated
12/7/2008,2008,12,7,Early CC,CC,Winter,Pre,0.041336592,HR,Elevated
12/8/2008,2008,12,8,Early CC,CC,Winter,Pre,0.088120574,HR,Zero
12/9/2008,2008,12,9,Early CC,CC,Winter,Pre,0.067959999,HR,Elevated
12/10/2008,2008,12,10,Early CC,CC,Winter,Pre,0.907311411,HR,Elevated
12/11/2008,2008,12,11,Early CC,CC,Winter,Pre,0.840112276,HR,Zero
12/12/2008,2008,12,12,Early CC,CC,Winter,Pre,0.805411547,HR,Zero
12/13/2008,2008,12,13,Early CC,CC,Winter,Pre,0.662768301,HR,Zero
12/14/2008,2008,12,14,Early CC,CC,Winter,Pre,0.378362335,HR,Zero
12/16/2008,2008,12,16,Early CC,CC,Winter,Pre,0.321437241,HR,Zero
12/17/2008,2008,12,17,Early CC,CC,Winter,Pre,0.50780369,HR,Elevated
12/18/2008,2008,12,18,Early CC,CC,Winter,Pre,0.622801589,HR,Zero
12/19/2008,2008,12,19,Early CC,CC,Winter,Pre,0.672702545,HR,High
12/20/2008,2008,12,20,Early CC,CC,Winter,Pre,0.697436766,HR,Elevated
12/21/2008,2008,12,21,Early CC,CC,Winter,Pre,0.417083724,HR,Elevated
12/22/2008,2008,12,22,Early CC,CC,Winter,Pre,0.473380928,HR,Zero
12/23/2008,2008,12,23,Early CC,CC,Winter,Pre,0.761437182,HR,Elevated
12/24/2008,2008,12,24,Early CC,CC,Winter,Pre,1.033826512,HR,Elevated
12/25/2008,2008,12,25,Early CC,CC,Winter,Pre,0.681171743,HR,Elevated
12/26/2008,2008,12,26,Early CC,CC,Winter,Pre,-1.153398071,HR,Elevated
12/27/2008,2008,12,27,Early CC,CC,Winter,Pre,-4.467899535,HR,Elevated
12/28/2008,2008,12,28,Early CC,CC,Winter,Pre,-3.032707584,HR,High
1/1/2009,2009,1,1,Early CC,CC,Winter,Pre,0.346704503,HR,Zero
1/2/2009,2009,1,2,Early CC,CC,Winter,Pre,0.774014235,HR,Zero
1/3/2009,2009,1,3,Early CC,CC,Winter,Pre,1.026171607,HR,Zero
1/4/2009,2009,1,4,Early CC,CC,Winter,Pre,1.107830522,HR,Elevated
1/5/2009,2009,1,5,Early CC,CC,Winter,Pre,1.373194791,HR,Zero
1/6/2009,2009,1,6,Early CC,CC,Winter,Pre,0.776071261,HR,Zero
1/7/2009,2009,1,7,Early CC,CC,Winter,Pre,0.692430815,HR,Elevated
1/8/2009,2009,1,8,Early CC,CC,Winter,Pre,0.566078831,HR,Elevated
1/13/2009,2009,1,13,Early CC,CC,Winter,Pre,0.051744337,HR,Elevated
1/14/2009,2009,1,14,Early CC,CC,Winter,Pre,-0.377480188,HR,Elevated
1/15/2009,2009,1,15,Early CC,CC,Winter,Pre,-0.711106249,HR,Elevated
1/16/2009,2009,1,16,Early CC,CC,Winter,Pre,-1.234926839,HR,Zero
1/17/2009,2009,1,17,Early CC,CC,Winter,Pre,-1.451774472,HR,Zero
1/18/2009,2009,1,18,Early CC,CC,Winter,Pre,-0.687868388,HR,Elevated
1/19/2009,2009,1,19,Early CC,CC,Winter,Pre,-0.416619989,HR,Zero
1/20/2009,2009,1,20,Early CC,CC,Winter,Pre,-0.266211487,HR,Zero
2/6/2009,2009,2,6,Early CC,CC,Winter,Pre,-1.207626478,HR,Zero
2/12/2009,2009,2,12,Early CC,CC,Winter,Pre,-12.52332553,HR,High
2/13/2009,2009,2,13,Early CC,CC,Winter,Pre,-2.288318533,HR,Zero
2/14/2009,2009,2,14,Early CC,CC,Winter,Pre,-11.6669086,HR,Elevated
2/17/2009,2009,2,17,Early CC,CC,Winter,Pre,-2.290178699,HR,Zero
2/18/2009,2009,2,18,Early CC,CC,Winter,Pre,-2.803435833,HR,Elevated
2/19/2009,2009,2,19,Early CC,CC,Winter,Pre,-2.19553056,HR,Elevated
2/20/2009,2009,2,20,Early CC,CC,Winter,Pre,-1.279778916,HR,Zero
2/21/2009,2009,2,21,Early CC,CC,Winter,Pre,-1.707801682,HR,Elevated
2/22/2009,2009,2,22,Early CC,CC,Winter,Pre,-1.707446423,HR,Elevated
2/24/2009,2009,2,24,Early CC,CC,Winter,Pre,-1.189812255,HR,Zero
2/25/2009,2009,2,25,Early CC,CC,Winter,Pre,-1.070515711,HR,Zero
2/28/2009,2009,2,28,Early CC,CC,Winter,Pre,-1.195319302,HR,Zero
3/1/2009,2009,3,1,Late CC,CC,Winter,Pre,-1.002492605,HR,Zero
3/2/2009,2009,3,2,Late CC,CC,Winter,Pre,-1.094502384,HR,Zero
3/3/2009,2009,3,3,Late CC,CC,Winter,Pre,-1.02538579,HR,Zero
3/4/2009,2009,3,4,Late CC,CC,Winter,Pre,-1.030340736,HR,Zero
3/5/2009,2009,3,5,Late CC,CC,Winter,Pre,-1.487311268,HR,Zero
3/6/2009,2009,3,6,Late CC,CC,Winter,Pre,-0.645978895,HR,Zero
3/7/2009,2009,3,7,Late CC,CC,Winter,Pre,-4.150984078,HR,Elevated
3/8/2009,2009,3,8,Late CC,CC,Winter,Pre,-29.57977961,HR,High
4/23/2009,2009,4,23,Late CC,CC,Spring,Pre,-1.272281026,HR,Zero
4/24/2009,2009,4,24,Late CC,CC,Spring,Pre,-1.147836354,HR,Zero
4/25/2009,2009,4,25,Late CC,CC,Spring,Pre,-1.265090657,HR,Zero
4/26/2009,2009,4,26,Late CC,CC,Spring,Pre,-1.632137012,HR,Zero
4/27/2009,2009,4,27,Late CC,CC,Spring,Pre,-4.076529536,HR,Zero
4/28/2009,2009,4,28,Late CC,CC,Spring,Pre,-2.519336071,HR,Elevated
4/29/2009,2009,4,29,Late CC,CC,Spring,Pre,-2.484162952,HR,Elevated
4/30/2009,2009,4,30,Late CC,CC,Spring,Pre,-3.630055011,HR,Zero
5/1/2009,2009,5,1,Late CC,No CC,Spring,Pre,-2.501073896,HR,Elevated
5/2/2009,2009,5,2,Late CC,No CC,Spring,Pre,-2.157825704,HR,Elevated
5/3/2009,2009,5,3,Late CC,No CC,Spring,Pre,-2.222172482,HR,Zero
5/4/2009,2009,5,4,Late CC,No CC,Spring,Pre,-2.436046478,HR,Zero
5/5/2009,2009,5,5,Late CC,No CC,Spring,Pre,-2.907800883,HR,Zero
5/6/2009,2009,5,6,Late CC,No CC,Spring,Pre,-3.142276328,HR,Zero
5/7/2009,2009,5,7,Late CC,No CC,Spring,Pre,-3.292689467,HR,Elevated
5/8/2009,2009,5,8,Late CC,No CC,Spring,Pre,-3.967350988,HR,Elevated
5/9/2009,2009,5,9,Late CC,No CC,Spring,Pre,-2.453714634,HR,Zero
5/10/2009,2009,5,10,Late CC,No CC,Spring,Pre,-2.681145833,HR,Zero
5/22/2009,2009,5,22,Late CC,No CC,Spring,Pre,-4.080323771,HR,Zero
5/23/2009,2009,5,23,Late CC,No CC,Spring,Pre,-3.819707671,HR,Zero
5/24/2009,2009,5,24,Late CC,No CC,Spring,Pre,-3.659818236,HR,Zero
5/25/2009,2009,5,25,Late CC,No CC,Spring,Pre,-3.10479936,HR,Zero
5/30/2009,2009,5,30,Late CC,No CC,Spring,Pre,-4.376885411,HR,Zero
5/31/2009,2009,5,31,Late CC,No CC,Spring,Pre,-5.099685392,HR,Zero
6/23/2009,2009,6,23,No CC,No CC,Spring,Pre,-1.188574009,HR,Zero
6/24/2009,2009,6,24,No CC,No CC,Spring,Pre,-1.64472617,HR,Zero
6/25/2009,2009,6,25,No CC,No CC,Spring,Pre,-1.331524219,HR,Zero
6/26/2009,2009,6,26,No CC,No CC,Spring,Pre,-1.182585199,HR,Elevated
6/27/2009,2009,6,27,No CC,No CC,Spring,Pre,-1.31628066,HR,Zero
6/28/2009,2009,6,28,No CC,No CC,Spring,Pre,-1.453191244,HR,Zero
6/29/2009,2009,6,29,No CC,No CC,Spring,Pre,-2.173562476,HR,Zero
6/30/2009,2009,6,30,No CC,No CC,Spring,Pre,-2.105723374,HR,Elevated
7/1/2009,2009,7,1,No CC,No CC,Summer,Pre,-2.051324013,HR,Zero
7/2/2009,2009,7,2,No CC,No CC,Summer,Pre,-1.62982049,HR,Elevated
7/3/2009,2009,7,3,No CC,No CC,Summer,Pre,-1.572855737,HR,Elevated
7/4/2009,2009,7,4,No CC,No CC,Summer,Pre,-2.252382241,HR,Zero
7/5/2009,2009,7,5,No CC,No CC,Summer,Pre,-1.612013153,HR,Elevated
7/7/2009,2009,7,7,No CC,No CC,Summer,Pre,-1.134715744,HR,Zero
7/8/2009,2009,7,8,No CC,No CC,Summer,Pre,-1.935356278,HR,Zero
7/9/2009,2009,7,9,No CC,No CC,Summer,Pre,-1.310710828,HR,Elevated
7/10/2009,2009,7,10,No CC,No CC,Summer,Pre,-1.478111299,HR,Zero
7/11/2009,2009,7,11,No CC,No CC,Summer,Pre,-2.021015088,HR,Zero
7/12/2009,2009,7,12,No CC,No CC,Summer,Pre,-1.302851532,HR,High
7/13/2009,2009,7,13,No CC,No CC,Summer,Pre,-1.197499139,HR,Zero
7/14/2009,2009,7,14,No CC,No CC,Summer,Pre,-1.102616116,HR,Zero
7/15/2009,2009,7,15,No CC,No CC,Summer,Pre,-1.774325549,HR,Zero
7/16/2009,2009,7,16,No CC,No CC,Summer,Pre,-2.040562947,HR,Elevated
